date,GDP,CPIAUCSL,UNRATE,FEDFUNDS
1964-11-01,,31.21,4.8,3.52
1964-12-01,,31.25,5.0,3.85
1965-01-01,717.79,31.28,4.9,3.9
1965-02-01,,31.28,5.1,3.98
1965-03-01,,31.31,4.7,4.05
1965-04-01,730.191,31.38,4.8,4.09
1965-05-01,,31.48,4.6,4.1
1965-06-01,,31.61,4.6,4.05
1965-07-01,749.323,31.58,4.4,4.09
1965-08-01,,31.55,4.4,4.12
1965-09-01,,31.62,4.3,4.02
1965-10-01,771.857,31.65,4.2,4.08
1965-11-01,,31.75,4.1,4.1
1965-12-01,,31.85,4.0,4.32
1966-01-01,795.734,31.88,4.0,4.42
1966-02-01,,32.08,3.8,4.6
1966-03-01,,32.18,3.8,4.66
1966-04-01,804.981,32.28,3.8,4.67
1966-05-01,,32.35,3.9,4.9
1966-06-01,,32.38,3.8,5.17
1966-07-01,819.638,32.45,3.8,5.3
1966-08-01,,32.65,3.8,5.53
1966-09-01,,32.75,3.7,5.4
1966-10-01,833.302,32.85,3.7,5.53
1966-11-01,,32.88,3.6,5.76
1966-12-01,,32.92,3.8,5.4
1967-01-01,844.17,32.9,3.9,4.94
1967-02-01,,33.0,3.8,5.0
1967-03-01,,33.0,3.8,4.53
1967-04-01,848.983,33.1,3.8,4.05
1967-05-01,,33.1,3.8,3.94
1967-06-01,,33.3,3.9,3.98
1967-07-01,865.233,33.4,3.8,3.79
1967-08-01,,33.5,3.8,3.9
1967-09-01,,33.6,3.8,3.99
1967-10-01,881.439,33.7,4.0,3.88
1967-11-01,,33.9,3.9,4.13
1967-12-01,,34.0,3.8,4.51
1968-01-01,909.387,34.1,3.7,4.61
1968-02-01,,34.2,3.8,4.71
1968-03-01,,34.3,3.7,5.05
1968-04-01,934.344,34.4,3.5,5.76
1968-05-01,,34.5,3.5,6.12
1968-06-01,,34.7,3.7,6.07
1968-07-01,950.825,34.9,3.7,6.03
1968-08-01,,35.0,3.5,6.03
1968-09-01,,35.1,3.4,5.78
1968-10-01,968.03,35.3,3.4,5.91
1968-11-01,,35.4,3.4,5.82
1968-12-01,,35.6,3.4,6.02
1969-01-01,993.337,35.7,3.4,6.3
1969-02-01,,35.8,3.4,6.61
1969-03-01,,36.1,3.4,6.79
1969-04-01,1009.02,36.3,3.4,7.41
1969-05-01,,36.4,3.4,8.67
1969-06-01,,36.6,3.5,8.9
1969-07-01,1029.956,36.8,3.5,8.61
1969-08-01,,36.9,3.5,9.19
1969-09-01,,37.1,3.7,9.15
1969-10-01,1038.147,37.3,3.7,9.0
1969-11-01,,37.5,3.5,8.85
1969-12-01,,37.7,3.5,8.97
1970-01-01,1051.2,37.9,3.9,8.98
1970-02-01,,38.1,4.2,8.98
1970-03-01,,38.3,4.4,7.76
1970-04-01,1067.375,38.5,4.6,8.1
1970-05-01,,38.6,4.8,7.95
1970-06-01,,38.8,4.9,7.61
1970-07-01,1086.059,38.9,5.0,7.21
1970-08-01,,39.0,5.1,6.62
1970-09-01,,39.2,5.4,6.29
1970-10-01,1088.608,39.4,5.5,6.2
1970-11-01,,39.6,5.9,5.6
1970-12-01,,39.8,6.1,4.9
1971-01-01,1135.156,39.9,5.9,4.14
1971-02-01,,39.9,5.9,3.72
1971-03-01,,40.0,6.0,3.71
1971-04-01,1156.271,40.1,5.9,4.16
1971-05-01,,40.3,5.9,4.63
1971-06-01,,40.5,5.9,4.91
1971-07-01,1177.675,40.6,6.0,5.31
1971-08-01,,40.7,6.1,5.57
1971-09-01,,40.8,6.0,5.55
1971-10-01,1190.297,40.9,5.8,5.2
1971-11-01,,41.0,6.0,4.91
1971-12-01,,41.1,6.0,4.14
1972-01-01,1230.609,41.2,5.8,3.51
1972-02-01,,41.4,5.7,3.3
1972-03-01,,41.4,5.8,3.83
1972-04-01,1266.369,41.5,5.7,4.17
1972-05-01,,41.6,5.7,4.27
1972-06-01,,41.7,5.7,4.46
1972-07-01,1290.566,41.8,5.6,4.55
1972-08-01,,41.9,5.6,4.81
1972-09-01,,42.1,5.5,4.87
1972-10-01,1328.904,42.2,5.6,5.05
1972-11-01,,42.4,5.3,5.06
1972-12-01,,42.5,5.2,5.33
1973-01-01,1377.49,42.7,4.9,5.94
1973-02-01,,43.0,5.0,6.58
1973-03-01,,43.4,4.9,7.09
1973-04-01,1413.887,43.7,5.0,7.12
1973-05-01,,43.9,4.9,7.84
1973-06-01,,44.2,4.9,8.49
1973-07-01,1433.838,44.2,4.8,10.4
1973-08-01,,45.0,4.8,10.5
1973-09-01,,45.2,4.8,10.78
1973-10-01,1476.289,45.6,4.6,10.01
1973-11-01,,45.9,4.8,10.03
1973-12-01,,46.3,4.9,9.95
1974-01-01,1491.209,46.8,5.1,9.65
1974-02-01,,47.3,5.2,8.97
1974-03-01,,47.8,5.1,9.35
1974-04-01,1530.056,48.1,5.1,10.51
1974-05-01,,48.6,5.1,11.31
1974-06-01,,49.0,5.4,11.93
1974-07-01,1560.026,49.3,5.5,12.92
1974-08-01,,49.9,5.5,12.01
1974-09-01,,50.6,5.9,11.34
1974-10-01,1599.679,51.0,6.0,10.06
1974-11-01,,51.5,6.6,9.45
1974-12-01,,51.9,7.2,8.53
1975-01-01,1616.116,52.3,8.1,7.13
1975-02-01,,52.6,8.1,6.24
1975-03-01,,52.8,8.6,5.54
1975-04-01,1651.853,53.0,8.8,5.49
1975-05-01,,53.1,9.0,5.22
1975-06-01,,53.5,8.8,5.55
1975-07-01,1709.82,54.0,8.6,6.1
1975-08-01,,54.2,8.4,6.14
1975-09-01,,54.6,8.4,6.24
1975-10-01,1761.831,54.9,8.4,5.82
1975-11-01,,55.3,8.3,5.22
1975-12-01,,55.6,8.2,5.2
1976-01-01,1820.487,55.8,7.9,4.87
1976-02-01,,55.9,7.7,4.77
1976-03-01,,56.0,7.6,4.84
1976-04-01,1852.332,56.1,7.7,4.82
1976-05-01,,56.4,7.4,5.29
1976-06-01,,56.7,7.6,5.48
1976-07-01,1886.558,57.0,7.8,5.31
1976-08-01,,57.3,7.8,5.29
1976-09-01,,57.6,7.6,5.25
1976-10-01,1934.273,57.9,7.7,5.02
1976-11-01,,58.1,7.8,4.95
1976-12-01,,58.4,7.8,4.65
1977-01-01,1988.648,58.7,7.5,4.61
1977-02-01,,59.3,7.6,4.68
1977-03-01,,59.6,7.4,4.69
1977-04-01,2055.909,60.0,7.2,4.73
1977-05-01,,60.2,7.0,5.35
1977-06-01,,60.5,7.2,5.39
1977-07-01,2118.473,60.8,6.9,5.42
1977-08-01,,61.1,7.0,5.9
1977-09-01,,61.3,6.8,6.14
1977-10-01,2164.27,61.6,6.8,6.47
1977-11-01,,62.0,6.8,6.51
1977-12-01,,62.3,6.4,6.56
1978-01-01,2202.76,62.7,6.4,6.7
1978-02-01,,63.0,6.3,6.78
1978-03-01,,63.4,6.3,6.79
1978-04-01,2331.633,63.9,6.1,6.89
1978-05-01,,64.5,6.0,7.36
1978-06-01,,65.0,5.9,7.6
1978-07-01,2395.053,65.5,6.2,7.81
1978-08-01,,65.9,5.9,8.04
1978-09-01,,66.5,6.0,8.45
1978-10-01,2476.949,67.1,5.8,8.96
1978-11-01,,67.5,5.9,9.76
1978-12-01,,67.9,6.0,10.03
1979-01-01,2526.61,68.5,5.9,10.07
1979-02-01,,69.2,5.9,10.06
1979-03-01,,69.9,5.8,10.09
1979-04-01,2591.247,70.6,5.8,10.01
1979-05-01,,71.4,5.6,10.24
1979-06-01,,72.2,5.7,10.29
1979-07-01,2667.565,73.0,5.7,10.47
1979-08-01,,73.7,6.0,10.94
1979-09-01,,74.4,5.9,11.43
1979-10-01,2723.883,75.2,6.0,13.77
1979-11-01,,76.0,5.9,13.18
1979-12-01,,76.9,6.0,13.78
1980-01-01,2789.842,78.0,6.3,13.82
1980-02-01,,79.0,6.3,14.13
1980-03-01,,80.1,6.3,17.19
1980-04-01,2797.352,80.9,6.9,17.61
1980-05-01,,81.7,7.5,10.98
1980-06-01,,82.5,7.6,9.47
1980-07-01,2856.483,82.6,7.8,9.03
1980-08-01,,83.2,7.7,9.61
1980-09-01,,83.9,7.5,10.87
1980-10-01,2985.557,84.7,7.5,12.81
1980-11-01,,85.6,7.5,15.85
1980-12-01,,86.4,7.2,18.9
1981-01-01,3124.206,87.2,7.5,19.08
1981-02-01,,88.0,7.4,15.93
1981-03-01,,88.6,7.4,14.7
1981-04-01,3162.532,89.1,7.2,15.72
1981-05-01,,89.7,7.5,18.52
1981-06-01,,90.5,7.5,19.1
1981-07-01,3260.609,91.5,7.2,19.04
1981-08-01,,92.2,7.4,17.82
1981-09-01,,93.1,7.6,15.87
1981-10-01,3280.818,93.4,7.9,15.08
1981-11-01,,93.8,8.3,13.31
1981-12-01,,94.1,8.5,12.37
1982-01-01,3274.302,94.4,8.6,13.22
1982-02-01,,94.7,8.9,14.78
1982-03-01,,94.7,9.0,14.68
1982-04-01,3331.972,95.0,9.3,14.94
1982-05-01,,95.9,9.4,14.45
1982-06-01,,97.0,9.6,14.15
1982-07-01,3366.322,97.5,9.8,12.59
1982-08-01,,97.7,9.8,10.12
1982-09-01,,97.7,10.1,10.31
1982-10-01,3402.561,98.1,10.4,9.71
1982-11-01,,98.0,10.8,9.2
1982-12-01,,97.7,10.8,8.95
1983-01-01,3473.413,97.9,10.4,8.68
1983-02-01,,98.0,10.4,8.51
1983-03-01,,98.1,10.3,8.77
1983-04-01,3578.848,98.8,10.2,8.8
1983-05-01,,99.2,10.1,8.63
1983-06-01,,99.4,10.1,8.98
1983-07-01,3689.179,99.8,9.4,9.37
1983-08-01,,100.1,9.5,9.56
1983-09-01,,100.4,9.2,9.45
1983-10-01,3794.706,100.8,8.8,9.48
1983-11-01,,101.1,8.5,9.34
1983-12-01,,101.4,8.3,9.47
1984-01-01,3908.054,102.1,8.0,9.56
1984-02-01,,102.6,7.8,9.59
1984-03-01,,102.9,7.8,9.91
1984-04-01,4009.601,103.3,7.7,10.29
1984-05-01,,103.5,7.4,10.32
1984-06-01,,103.7,7.2,11.06
1984-07-01,4084.25,104.1,7.5,11.23
1984-08-01,,104.4,7.5,11.64
1984-09-01,,104.7,7.3,11.3
1984-10-01,4148.551,105.1,7.4,9.99
1984-11-01,,105.3,7.2,9.43
1984-12-01,,105.5,7.3,8.38
1985-01-01,4230.168,105.7,7.3,8.35
1985-02-01,,106.3,7.2,8.5
1985-03-01,,106.8,7.2,8.58
1985-04-01,4294.887,107.0,7.3,8.27
1985-05-01,,107.2,7.2,7.97
1985-06-01,,107.5,7.4,7.53
1985-07-01,4386.773,107.7,7.4,7.88
1985-08-01,,107.9,7.1,7.9
1985-09-01,,108.1,7.1,7.92
1985-10-01,4444.094,108.5,7.1,7.99
1985-11-01,,109.0,7.0,8.05
1985-12-01,,109.5,7.0,8.27
1986-01-01,4507.894,109.9,6.7,8.14
1986-02-01,,109.7,7.2,7.86
1986-03-01,,109.1,7.2,7.48
1986-04-01,4545.34,108.7,7.1,6.99
1986-05-01,,109.0,7.2,6.85
1986-06-01,,109.4,7.2,6.92
1986-07-01,4607.669,109.5,7.0,6.56
1986-08-01,,109.6,6.9,6.17
1986-09-01,,110.0,7.0,5.89
1986-10-01,4657.627,110.2,7.0,5.85
1986-11-01,,110.4,6.9,6.04
1986-12-01,,110.8,6.6,6.91
1987-01-01,4722.156,111.4,6.6,6.43
1987-02-01,,111.8,6.6,6.1
1987-03-01,,112.2,6.6,6.13
1987-04-01,4806.16,112.7,6.3,6.37
1987-05-01,,113.0,6.3,6.85
1987-06-01,,113.5,6.2,6.73
1987-07-01,4884.555,113.8,6.1,6.58
1987-08-01,,114.3,6.0,6.73
1987-09-01,,114.7,5.9,7.22
1987-10-01,5007.994,115.0,6.0,7.29
1987-11-01,,115.4,5.8,6.69
1987-12-01,,115.6,5.7,6.77
1988-01-01,5073.372,116.0,5.7,6.83
1988-02-01,,116.2,5.7,6.58
1988-03-01,,116.5,5.7,6.58
1988-04-01,5190.036,117.2,5.4,6.87
1988-05-01,,117.5,5.6,7.09
1988-06-01,,118.0,5.4,7.51
1988-07-01,5282.835,118.5,5.4,7.75
1988-08-01,,119.0,5.6,8.01
1988-09-01,,119.5,5.4,8.19
1988-10-01,5399.509,119.9,5.4,8.3
1988-11-01,,120.3,5.3,8.35
1988-12-01,,120.7,5.3,8.76
1989-01-01,5511.253,121.2,5.4,9.12
1989-02-01,,121.6,5.2,9.36
1989-03-01,,122.2,5.0,9.85
1989-04-01,5612.463,123.1,5.2,9.84
1989-05-01,,123.7,5.2,9.81
1989-06-01,,124.1,5.3,9.53
1989-07-01,5695.365,124.5,5.2,9.24
1989-08-01,,124.5,5.2,8.99
1989-09-01,,124.8,5.3,9.02
1989-10-01,5747.237,125.4,5.3,8.84
1989-11-01,,125.9,5.4,8.55
1989-12-01,,126.3,5.4,8.45
1990-01-01,5872.701,127.5,5.4,8.23
1990-02-01,,128.0,5.3,8.24
1990-03-01,,128.6,5.2,8.28
1990-04-01,5960.028,128.9,5.4,8.26
1990-05-01,,129.1,5.4,8.18
1990-06-01,,129.9,5.2,8.29
1990-07-01,6015.116,130.5,5.5,8.15
1990-08-01,,131.6,5.7,8.13
1990-09-01,,132.5,5.9,8.2
1990-10-01,6004.733,133.4,5.9,8.11
1990-11-01,,133.7,6.2,7.81
1990-12-01,,134.2,6.3,7.31
1991-01-01,6035.178,134.7,6.4,6.91
1991-02-01,,134.8,6.6,6.25
1991-03-01,,134.8,6.8,6.12
1991-04-01,6126.862,135.1,6.7,5.91
1991-05-01,,135.6,6.9,5.78
1991-06-01,,136.0,6.9,5.9
1991-07-01,6205.937,136.2,6.8,5.82
1991-08-01,,136.6,6.9,5.66
1991-09-01,,137.0,6.9,5.45
1991-10-01,6264.54,137.2,7.0,5.21
1991-11-01,,137.8,7.0,4.81
1991-12-01,,138.2,7.3,4.43
1992-01-01,6363.102,138.3,7.3,4.03
1992-02-01,,138.6,7.4,4.06
1992-03-01,,139.1,7.4,3.98
1992-04-01,6470.763,139.4,7.4,3.73
1992-05-01,,139.7,7.6,3.82
1992-06-01,,140.1,7.8,3.76
1992-07-01,6566.641,140.5,7.7,3.25
1992-08-01,,140.8,7.6,3.3
1992-09-01,,141.1,7.6,3.22
1992-10-01,6680.803,141.7,7.3,3.1
1992-11-01,,142.1,7.4,3.09
1992-12-01,,142.3,7.4,2.92
1993-01-01,6729.459,142.8,7.3,3.02
1993-02-01,,143.1,7.1,3.03
1993-03-01,,143.3,7.0,3.07
1993-04-01,6808.939,143.8,7.1,2.96
1993-05-01,,144.2,7.1,3.0
1993-06-01,,144.3,7.0,3.04
1993-07-01,6882.098,144.5,6.9,3.06
1993-08-01,,144.8,6.8,3.03
1993-09-01,,145.0,6.7,3.09
1993-10-01,7013.738,145.6,6.8,2.99
1993-11-01,,146.0,6.6,3.02
1993-12-01,,146.3,6.5,2.96
1994-01-01,7115.652,146.3,6.6,3.05
1994-02-01,,146.7,6.6,3.25
1994-03-01,,147.1,6.5,3.34
1994-04-01,7246.931,147.2,6.4,3.56
1994-05-01,,147.5,6.1,4.01
1994-06-01,,147.9,6.1,4.25
1994-07-01,7331.075,148.4,6.1,4.26
1994-08-01,,149.0,6.0,4.47
1994-09-01,,149.3,5.9,4.73
1994-10-01,7455.288,149.4,5.8,4.76
1994-11-01,,149.8,5.6,5.29
1994-12-01,,150.1,5.5,5.45
1995-01-01,7522.289,150.5,5.6,5.53
1995-02-01,,150.9,5.4,5.92
1995-03-01,,151.2,5.4,5.98
1995-04-01,7580.997,151.8,5.8,6.05
1995-05-01,,152.1,5.6,6.01
1995-06-01,,152.4,5.6,6.0
1995-07-01,7683.125,152.6,5.7,5.85
1995-08-01,,152.9,5.7,5.74
1995-09-01,,153.1,5.6,5.8
1995-10-01,7772.586,153.5,5.5,5.76
1995-11-01,,153.7,5.6,5.8
1995-12-01,,153.9,5.6,5.6
1996-01-01,7868.468,154.7,5.6,5.56
1996-02-01,,155.0,5.5,5.22
1996-03-01,,155.5,5.5,5.31
1996-04-01,8032.84,156.1,5.6,5.22
1996-05-01,,156.4,5.6,5.24
1996-06-01,,156.7,5.3,5.27
1996-07-01,8131.408,157.0,5.5,5.4
1996-08-01,,157.2,5.1,5.22
1996-09-01,,157.7,5.2,5.3
1996-10-01,8259.771,158.2,5.2,5.24
1996-11-01,,158.7,5.4,5.31
1996-12-01,,159.1,5.4,5.29
1997-01-01,8362.655,159.4,5.3,5.25
1997-02-01,,159.7,5.2,5.19
1997-03-01,,159.8,5.2,5.39
1997-04-01,8518.825,159.9,5.1,5.51
1997-05-01,,159.9,4.9,5.5
1997-06-01,,160.2,5.0,5.56
1997-07-01,8662.823,160.4,4.9,5.52
1997-08-01,,160.8,4.8,5.54
1997-09-01,,161.2,4.9,5.54
1997-10-01,8765.907,161.5,4.7,5.5
1997-11-01,,161.7,4.6,5.52
1997-12-01,,161.8,4.7,5.5
1998-01-01,8866.48,162.0,4.6,5.56
1998-02-01,,162.0,4.6,5.51
1998-03-01,,162.0,4.7,5.49
1998-04-01,8969.699,162.2,4.3,5.45
1998-05-01,,162.6,4.4,5.49
1998-06-01,,162.8,4.5,5.56
1998-07-01,9121.097,163.2,4.5,5.54
1998-08-01,,163.4,4.5,5.55
1998-09-01,,163.5,4.6,5.51
1998-10-01,9293.991,163.9,4.5,5.07
1998-11-01,,164.1,4.4,4.83
1998-12-01,,164.4,4.4,4.68
1999-01-01,9411.682,164.7,4.3,4.63
1999-02-01,,164.7,4.4,4.76
1999-03-01,,164.8,4.2,4.81
1999-04-01,9526.21,165.9,4.3,4.74
1999-05-01,,166.0,4.2,4.74
1999-06-01,,166.0,4.3,4.76
1999-07-01,9686.626,166.7,4.3,4.99
1999-08-01,,167.1,4.2,5.07
1999-09-01,,167.8,4.2,5.22
1999-10-01,9900.169,168.1,4.1,5.2
1999-11-01,,168.4,4.1,5.42
1999-12-01,,168.8,4.0,5.3
2000-01-01,10002.179,169.3,4.0,5.45
2000-02-01,,170.0,4.1,5.73
2000-03-01,,171.0,4.0,5.85
2000-04-01,10247.72,170.9,3.8,6.02
2000-05-01,,171.2,4.0,6.27
2000-06-01,,172.2,4.0,6.53
2000-07-01,10318.165,172.7,4.0,6.54
2000-08-01,,172.7,4.1,6.5
2000-09-01,,173.6,3.9,6.52
2000-10-01,10435.744,173.9,3.9,6.51
2000-11-01,,174.2,3.9,6.51
2000-12-01,,174.6,3.9,6.4
2001-01-01,10470.231,175.6,4.2,5.98
2001-02-01,,176.0,4.2,5.49
2001-03-01,,176.1,4.3,5.31
2001-04-01,10599.0,176.4,4.4,4.8
2001-05-01,,177.3,4.3,4.21
2001-06-01,,177.7,4.5,3.97
2001-07-01,10598.02,177.4,4.6,3.77
2001-08-01,,177.4,4.9,3.65
2001-09-01,,178.1,5.0,3.07
2001-10-01,10660.465,177.6,5.3,2.49
2001-11-01,,177.5,5.5,2.09
2001-12-01,,177.4,5.7,1.82
2002-01-01,10783.5,177.7,5.7,1.73
2002-02-01,,178.0,5.7,1.74
2002-03-01,,178.5,5.7,1.73
2002-04-01,10887.46,179.3,5.9,1.75
2002-05-01,,179.5,5.8,1.75
2002-06-01,,179.6,5.8,1.75
2002-07-01,10984.04,180.0,5.8,1.73
2002-08-01,,180.5,5.7,1.74
2002-09-01,,180.8,5.7,1.75
