date,DIA,IVV,QQQ,SPY,VTI
2021-12-29,344.2910461425781,458.2726440429688,393.5384521484375,456.9615173339844,231.86575317382807
2021-12-30,343.5643920898437,456.98248291015625,392.3624267578125,455.6982421875,231.4929962158203
2021-12-31,342.8567199707031,455.84515380859375,389.912353515625,454.54974365234375,230.75706481933597
2022-01-03,345.0837707519531,458.5688781738281,393.6658935546875,457.1816101074219,232.2193756103516
2022-01-04,347.15045166015625,458.416015625,388.5599060058594,457.0284729003906,231.77972412109372
2022-01-05,343.5831604003906,449.48046875,376.6228637695313,448.2525634765625,226.75247192382807
2022-01-06,341.97900390625,449.14599609375,376.3582458496094,447.8314208984375,226.69512939453125
2022-01-07,341.903564453125,447.3493347167969,372.28118896484375,446.0609130859375,225.6628875732422
2022-01-10,340.4692077636719,446.5083312988281,372.5262451171875,445.5058898925781,225.27102661132807
2022-01-11,342.1207275390625,450.9139404296875,378.1223449707031,449.5636596679688,227.51705932617188
2022-01-12,342.5075378417969,452.1085510253906,379.6217651367188,450.779052734375,227.87071228027344
2022-01-13,340.85614013671875,445.9062805175781,370.1250915527344,444.5679626464844,224.5351104736328
2022-01-14,338.9120788574219,446.0591430664063,372.4282531738281,444.7498168945313,224.62112426757807
2022-01-18,333.9200439453125,438.1748962402344,363.1569519042969,436.8734436035156,220.2533721923828
2022-01-19,330.6171875,433.6450500488281,359.1681823730469,432.337158203125,217.9404296875
2022-01-20,327.7671813964844,428.828369140625,354.5031433105469,427.5520629882813,215.3981170654297
2022-01-21,323.30792236328125,420.475830078125,344.6733093261719,419.1589050292969,211.13546752929688
2022-01-24,324.68670654296875,421.9475708007813,346.2511291503906,420.9389953613281,212.49261474609372
2022-01-25,323.8840026855469,417.0927734375,338.2245788574219,415.79974365234375,209.52023315429688
2022-01-26,322.4674987792969,416.1275634765625,337.6952819824219,414.756591796875,208.7078399658203
2022-01-27,322.55242919921875,413.9581909179688,334.2945861816406,412.7085266113281,207.15951538085935
2022-01-28,327.80322265625,424.0787658691406,344.7810363769531,422.9582824707031,212.2632293701172
2022-01-31,331.5523376464844,431.74322509765625,355.8066101074219,430.57623291015625,216.77442932128903
2022-02-01,334.25323486328125,434.7249145507813,358.2273254394531,433.485595703125,218.42784118652344
2022-02-02,336.2269897460937,438.9012451171875,361.1380920410156,437.696533203125,219.8710479736328
